Feature,Data_Type,Missing_Values,Unique_Values
Age,int64,0,43
Attrition,object,0,2
BusinessTravel,object,0,3
DailyRate,int64,0,886
Department,object,0,3
DistanceFromHome,int64,0,29
Education,int64,0,5
EducationField,object,0,6
EmployeeCount,int64,0,1
EmployeeNumber,int64,0,1470
EnvironmentSatisfaction,int64,0,4
Gender,object,0,2
HourlyRate,int64,0,71
JobInvolvement,int64,0,4
JobLevel,int64,0,5
JobRole,object,0,9
JobSatisfaction,int64,0,4
MaritalStatus,object,0,3
MonthlyIncome,int64,0,1349
MonthlyRate,int64,0,1427
NumCompaniesWorked,int64,0,10
Over18,object,0,1
OverTime,object,0,2
PercentSalaryHike,int64,0,15
PerformanceRating,int64,0,2
RelationshipSatisfaction,int64,0,4
StandardHours,int64,0,1
StockOptionLevel,int64,0,4
TotalWorkingYears,int64,0,40
TrainingTimesLastYear,int64,0,7
WorkLifeBalance,int64,0,4
YearsAtCompany,int64,0,37
YearsInCurrentRole,int64,0,19
YearsSinceLastPromotion,int64,0,16
YearsWithCurrManager,int64,0,18
